SrNo,Name Of the Program,Type of Course,Code,Need,Description of the need
432,BSc (Biotechnology),Food Science and nutrition,UGBTSEC301,National,Helps in developmental ofheathy life styles
433,BSc (Biotechnology),Food Adulteration and safety,UGBTSEC302,Regional,"Help in global development By raising awareness of the problem, improving food safety regulations, promoting transparency in the food supply chain, and empowering
consumers"
434,BSc (Biotechnology),Research methodology,UGBTGE301,Global,"These skills are essential for developing new knowledge and solutions to global challenges, developing efficient
communication skills."
435,BSc (Biotechnology),Entrepreneurship development,UGBTGE302,Regional,"Creating jobs and economic growth, solving local problems, promoting diversity and inclusion, and boosting innovation
and creativity"
436,BSc (Biotechnology),Practicals of Cell Biology,UGBTP301,Global,Knowledge of this is important for the development of new drugs and vaccines
437,BSc (Biotechnology),Practicals of Genetics,UGBTP302,Global,Knowledge of this is important for the development of new drugs and vaccines and also study the evolution
438,BSc (Biotechnology),"Practicals of Molecular
Biology and Instrumentation",UGBTCP303,Global,Knowledge of this is important for the development of new drugs and vaccines and also study the molecular evolution
439,BSc (Biotechnology),Practicals of Food Science and nutrition,UGBTSECP301,Regional,Helps in developmental of heathy life styles
440,BSc (Biotechnology),Practicals of Food Adulteration and safety,UGBTSECP302,Regional,"Help in global development By raising awareness of the problem, improving food safety regulations, promoting transparency in the food supply chain, and empowering
consumers"
441,BSc (Biotechnology),Practicals of Research methodology,UGBTGEP301,Regional,"These skills are essential for developing new knowledge and solutions to global challenges, informing decision-making.
and building capacity."
442,BSc (Biotechnology),"Practicals of Entrepreneurship
development",UGBTGEP302,Regional,"Creating jobs and economic growth, solving local problems, promoting diversity and inclusion, and boosting innovation
and creativity"
443,BSc (Biotechnology),Immunology,UGBTC401,Global,This knowledge helps in prevention and control infectious diseases. Vaccines are one of the  most cost-effective and effective public health interventions available
444,BSc (Biotechnology),Genetic engineering,UGBTC402,Global,Knowledge of this is important for the development of new drugs and vaccines and also study the evolution
445,BSc (Biotechnology),Medical Microbiology,UGBTC403,National,Important for the development of new drugs
446,BSc (Biotechnology),Biofertilizer production,UGBT SEC 401,Regional,Helps in Sustainable environmental management
447,BSc (Biotechnology),Mushroom cultivation,UGBTSEC402,Regional,Helps in Sustainable environmental  management
448,BSc (Biotechnology),Evolution and ecology,UGBTGE 401,Global,"by human activities, this research can be used to develop strategies for protecting the environment and promoting sustainable development"
449,BSc (Biotechnology),Bioethics and bio safety,UGBTGE 402,Global,"Introduction to biosafety, biosafety levels and risk management, introduction to bioethics, and management aspects plays a vital role in global development by helping to protect human health, animal health, the environment, and biodiversity. It is also essential for the safe and responsible development of new technologies and the sustainable use of biological resources."
450,BSc (Biotechnology),Practicals of Immunology,UGBTCP401,Global,This knowledge of these techniques helps in prevention and control infectious diseases. Vaccines are one of the  most cost- effective and effective public health interventions available
451,BSc (Biotechnology),Practicals of Genetic engineering,UGBTCP402,Global,Knowledge of this technique is important for the development of new drugs and vaccines and also study the evolution
452,BSc (Biotechnology),Practicals of Medical Microbiology,UGBTCP403,Regional,Important for the development of new drugs and understand the important characteristics of causative organisms
453,BSc (Biotechnology),Practicals of Biofertilizer production,UGBTSECP401,Regional,"Helps to understand the natural world and how it is affected by human activities, this research can be used to develop strategies for protecting the environment and promoting sustainable development"
454,BSc (Biotechnology),Practicals of Mushroom cultivation,UGBTSECP402,Regional,"Mushroom cultivation plays an important role in the mushroom industry. It provides a source of spawn and substrate, a controlled environment for growing mushrooms, a way to recycle organic materials, and a way to grow mushrooms for food or profit"
455,"BSc
(Biotechnology)","Practicals of Evolution
and ecology",UGBTGEP401,Regional,"Helps to  understand the natural world and how it is affected by human activities, this research can be used to develop
strategies for protecting the environment and promoting sustainable development"
456,BSc (Biotechnology),Practicals of Bioethics and bio safety,UGBTGEP402,National,"Introduction to biosafety, biosafety levels and risk management, introduction to bioethics, and management aspects plays a vital role in global development by helping to protect human health, animal health, the environment, and biodiversity. It is also essential for the safe and responsible development of new technologies and the sustainable use of biological resources."
457,BSc (Biotechnology),Cell Biology and Chemotherapeuticagents,UGBT501,Global,Knowledge of this is important for the development of new drugs and vaccines
458,BSc (Biotechnology),Bioanalytical techniques,UGBT502,Regional,"Bioanalytical techniques are powerful tools that can be used to address a wide range of regional Development challenges. By improving agricultural productivity, protecting human
health and the Environment, and developing new diagnostic"
459,BSc (Biotechnology),"Regulation, genomes and omics",UGBT503,Global,"Important for improvement of agricultural productivity, protecting human health and the environment, and developing new diagnostic tests and treatments for diseases"
460,BSc (Biotechnology),Marine Biotechnology,UGBT504,Global,"By developing new products and processes that can improve human health, promote sustainable development, and create
jobs and economic opportunities, marine biotechnology can help to build a better future for all."
461,BSc (Biotechnology),Biosafety and IPR,UGBTACS0S,Global,"Introduction to biosafety, biosafety levels and risk management, introduction to bioethics, and management aspects plays a vital role in global development by helping to protect human health, animal health, the environment, and biodiversity. It is also essential for the safe and responsible development of new technologies and the sustainable use of biological resources."
462,BSc (Biotechnology),Practicals of Cell Biology and Chemotherapeutic agents,UGBTPS01,Regional,Important for the development of new drugs
463,BSc (Biotechnology),Practicals of Bioanalytical techniques,UGBTPS02,Regional,"Bioanalytical techniques are powerful tools that can be used to address a wide range of regional development challenges. By improving agricultural productivity, protecting human health and the environment, and developing new diagnostic tests and treatments for diseases"
464,BSc (Biotechnology),"Practicals of Regulation, genomes and omics",UGBTPS03,Regional,"These techniques are important for Important for improvement of agricultural productivity, protecting human health and the environment, and developing new diagnostic
tests and treatments for diseases"
465,BSc (Biotechnology),Practicals of Marine Biotechnology,UGBTPS04,Regional,"By developing new products and processes that can improve human health, promote sustainable development, and create jobs and economic opportunities, marine biotechnology can help to build a better future for all."
466,BSc (Biotechnology),Practicals of Biosafety and IPR,UGBTACPS0S,Regional,"Introduction to biosafety, biosafety levels and risk management, introduction to bioethics, and management aspects plays a vital role in global development by helping to protect human health, animal health, the environment, and biodiversity. It is also essential for the safe and responsible development of new technologies and the sustainable use of biological resources."
467,BSc (Biotechnology),Biochemistry II,UGBTC601,Global,Essential for human health and knowledge of this is important for development of new drugs and vaccines
468,BSc (Biotechnology),Industrial Microbiology,UGBTC602,National,"Dairy technology and downstream processing play an important role in national development by improving food security and nutrition, creating jobs and economic
opportunities, and promoting sustainable development"
469,BSc (Biotechnology),Basic pharmacology and Toxicology,UGBTC603,National,Knowledge of this helps in development of new drugs
470,BSc (Biotechnology),Environmental Biotechnology,UGBTC604,Global,Helps in Sustainable environmental management
471,BSc (Biotechnology),Agri Biotechnology,UGBTAC605,Regional,"Plays a important role in impr<1Vement of food security and nutrition, reducing poverty, and promoting sustainable development                          -;"
472,BSc (Biotechnology),Practicals of Biochemistry II,UGBTCP601,Regional,Essential for human health and knowledge of this is important for development of new drugs and vaccines
473,BSc (Biotechnology),Practicals of Industrial Microbiology,UGBTCP602,Regional,"Dairy technology and downstream processing play an important role in national development by improving food security and nutrition, creating jobs and economic oooortunities, and promoting sustainable development"
474,BSc (Biotechnology),"Practicals of Basic
pharmacology and Toxicolol!V",UGBTCP603,Regional,Helps in testing toxicity of developing drugs
475,BSc (Biotechnology),"Practicals of
Environmental Biotechnology",UGBTCP604,Regional,Helps in Sustainable environmental management
476,BSc (Biotechnology),Practicals of Agri Biotechnology,UGBTACP605,Regional,"Plays a important role in improvement of food security and
nutrition, reducing poverty, and promoting sustainable development"
477,BSc (Computer Science),"Introduction to DBMS,Entity
Relationship Model",UGCSC101,Global,"Manage vast amounts of data efficiently, designing and maintaining systems, development of information systems"
478,BSc (Computer Science),"Practicals related to
Database Management System",UGCSCP101,Local,"Manage vast amounts of data efficiently, designing and maintaining systems, development of information systems"
479,BSc (Computer Science),Dynamic Memory Allocation,UGCSC102,Global,"Understanding of how computers work, including memory management and system-level interactions. Dealing with versatility in various application domains."
480,BSc (Computer Science),Practicals related to C Programming,UGCSCP102,Local,"Understanding of how computers work, including memory management and system-level interactions. Dealing with versatility in various application domains."
481,BSc (Computer Science),"Mannerism,Public Speaking ,Leadership and Team Building.Stress and Time Management:
Stress, Sources of Stress,Ways to Cope with Stress",UGCSAEC103,Regional,"Etiquette and Mannerism.Public Speaking,Leadership and Team Building.Stress and Time Management: Stress, Sources of Stress, Ways to Cope with Stress"
482,BSc (Computer Science),"Set Theory,Permutations and Combinations,Graphs,Tre es,Grammars, and Combinations,Graphs ,Trees",UGCSGE104A,National,"Fundamental to understanding algorithms, data structures, and programming. Designing efficient algorithms & Algorithmic problem-solving"
483,BSc (Computer Science),"Memory, Number Systems,Codes for character representation,Digital loiric circuits",UGCSGEP104A,Regional,"Understanding of computer systems, developing systems that can interoperate seamlessly across international boundaries. exposing students to the latest trends and advancements in computer architecture."
484,BSc (Computer Science),"Practicals on number conversions,half adder full adder,flip flops",UGCSGE104B,Local,"Problem-solvingskills, critical thinking, and programming concepts"
485,BSc (Computer Science),"Python flow Control,Functions,List,GU I Programming.",UGCSGEP 1048,National,"Problem-solvingskills, critical thinking, and programming concepts"
486,BSc (Computer Science),"Database connectivity in Python,Python File Input- Output",UGCSC201,Regional,"Learning skills that have broad applicability in the global job market, participate in the global software development community"
487,BSc (Computer Science),Practicals are based on totally python programming also include GUI programming and Searching ,UGCSCP201,Local,Learning skills that have broad applicability in the global job
488,BSc (Computer Science),"Sorting.Advanced Linked List,Stacks,Queues,Recurs ion",UGCSC202,Global,"market, participate in the global software development community
ir,.UR o ..f                                                                                           (_     fc..,_"
489,BSc (Computer Science),"Practicals are based on Data structures Enterprise Green IT Strategy, Green Data",UGCSCP202,National,"Implementing energy-efficient data centers, Sustainable procurement and disposal of IT equipment,Green IT policies and governance"
490,BSc (Computer Science),"Storage, Green Enterprises and the Role of IT, Green Networks and Communications ",UGCSAEC203,Regional,"Analyzing and interpreting data related to global issues such as climate change, population growth, economic trends, public health, interpriting global data."
491,BSc (Computer Science),"Measures of Central tendency.Measure of Correlation, Linear Regression",UGCSGE204A,Local,"Analyzing and interpreting data related to global issues such as climate change, population growth, economic trends, public health, interpriting global data."
492,BSc (Computer Science),"Practicals are  based on Correlation,Regression,an d another aspects of statistics",UGCSGEP204A,Regional,"To develop and implement IoT solutions, Physical Computing and  IoT Programming to optimize local resources, such as energy, water, and transportation."
493,BSc (Computer Science),"System on Chip,Introduction to
Raspberry Pi.Raspberry",UGCSGE2048,National,"To develop and implement loT solutions, Physical Computing and IoT Programming to optimize local resources, such as energy, water, and transportation."
494,BSc (Computer Science),Pi and Linux Practicals are based on Rasberry Pi,UGCSGEP2048,Global,Development of a skilled workforce capable of managing secure and stable computing environments.
495,BSc (Computer Science),"Introduction and Operating-Systems
Structures, Basic script building",UGCSC301,Global,Development of a skilled workforce capable of managing secure and stable computing environments.
496,BSc (Computer Science),"Practicals related to
Operating System and Linux",UGCSCP301,Local,Development of a skilled workforce capable of managing secure and stable computing environments.
497,BSc (Computer Science),"Network types, Network Models, Transmission Media, 1Pv4 addresses, 1Pv6 addresses.",UGCSC302,Global,Development of a skilled workforce capable of managing secure and stable computing environments.
498,BSc (Computer Science),Practicals related to Computer Networks,UGCSCP302,National,Foundation for learning programming concepts
499,BSc (Computer Science),"Introduction to OOP, Introduction to Java,
Wrapper classes, Event Handling:",UGCSC303,Global,Foundation for learning programming concepts
500,BSc (Computer Science),Practicals related to Core Java,UGCSCP303,National,"Foster a culture of innovation and keep at the forefront of
technological progress. To create local digital solutions for different websites"
501,BSc (Computer Science),"Elements of HTML, Practicals related to Web Proe:rammine:",UGCSSECP304A,Regional,Database development and management in different companies
502,BSc (Computer Science),"Fundamentals of PL/SQL, PL/SQL Datatypes, Practicals related to
PL/SQL",UGCSSECP3048,Local,"Analyzing and interpreting data related to global issues such as climate change, population growth, economic trends, public health, interpriting global data."
503,BSc (Computer Science),Standard distributions and Mathematical Expectation and Variance,UGCSGE305 A,Global,"Analyzing and  interpreting data related to global issues such as climate change, population growth, economic trends, public health, interpriting global data."
504,BSc (Computer Science),Practicals related to Descriptive Statistics,UGCSGEP305 A,National,"Skills like programming, problem-solving, and teatmwork"
505,BSc (Computer Science),"Mathematics for Computer Graphics, DirectX Kickstart, Direct X, Analytic Geometry, Unity Engine",UGCSGE305 B,Local,"Skills like programming, problem-solving, and teamwork"
506,BSc (Computer Science),Practicals related to Game Proe:rammine:,UGCSGEP305 B,Regional,Language is used at various programs worldwide
507,"BSc (Computer
Science)","JDBC,UnderstandingJava EE,JSP,Java Beans",UGCSC401,National,Hands on using Language at various programs worldwide
508,BSc (Computer Science),Practicals related to Advanced Java,UGCSCP401,Global,"System design, software management of different websites and softwares"
509,BSc (Computer Science),"lntroduction,Software Requirements Analysis and Specification,System Modeling.Project Scheduling.Software Project Management",UGCSC402,Local,"System design, software management of different websites and softwares"
510,BSc (Computer Science),Practicals related to Software Engineering,UGCSCP402,Global,"Learning hands on skills related to .NET, website navigation etc."
511,BSc (Computer Science),"ASP.NET,Data Controls",UGCSC403,Regional,Foster a culture of innovation and keep at the forefront of technological progress. To create local digital solutions for different websites
512,BSc (Computer Science),Practicals related to Dot Net Technologies with C#,UGCSCP403,Local,"C# is a versatile language that offers a wide range of features and capabilities. It is strongly typed, meaning that variables must be declared with a specific data type."
513,BSc (Computer Science),"PHP,AJAX,jQuery,Practica ls related to Web Programmin2-II",UGCSSECP 404  A,National,"AJAX allows asynchronous data exchange between the web browser and the server, resulting in more responsive and
interactive aoplications."
514,BSc (Computer Science),"Triggers,Sequences,Curso rs.Practicals related to PL/SOL- II",UGCSSECP 404  B,Global,"It allows developers to write SQL statements along with
procedural constructs, creating more powerful and flexible programs"
515,BSc (Computer Science),"Working with Views.Networkingin Android,Data",UGCSGE 405  A,National,"The course is designed to cater to both individuals with little or no programming experience and experienced developers from other platforms seeking to transition to Android
development."
516,BSc (Computer Science),"Practicals related to
Android App development",UGCSGEP 405  A,Regional,"The need for Android Developer Fundamentals arises from
the rapid growth of the Android platform and the increasing demand for Android developers."
517,BSc (Computer Science),Graph Theory.Network Flows.Combinatorial Applications of Network Flows,UGCSGE 405 8,Global,"Combinatorics is a branch of mathematics that deals with counting, arranging, and organizing objects or events."
518,BSc (Computer Science),"Practicals related to
Combinatorics & Graph Theorv",UGCSGEP 405 8,Local,"Graph Theory, on the other hand, is the study of graphs,
which are mathematical structures that represent relationships between obiects."
519,BSc (Computer Science),"Learning from Examples.Learning probabilistic models:,Reinforcement
learnin2",UGCS501,National,"AI innovation can drive economic growth by fostering the development of new industries, products, and services, creating high-skilled job opportunities."
520,BSc (Computer Science),"Networking and Security,Internet Services,Intranet Services",UGCS502,Global,"Linux is a global standard, facilitating interoperabilityand collaboration between different regions and nations.
Standardizing on Linux-based systems can promote
compatibility and seamless interaction between diverse systems on a global scale."
521,BSc (Computer Science),"Verification and Validation,Software Testing
Techniques,Software Quality Assurance,Quality Improvement",UGCS503,Regional,Effective software testing ensures that locally developed applications meet user expectations and perform reliably.
522,BSc (Computer Science),"Public-Key Cryptography and RSA,IP Security,Malicious Software Network",UGCS504,Local,"Local businesses rely on information and network security to protect sensitive data, customer information, and intellectual property."
523,BSc (Computer Science),"Layer,Transport layer protocols,Session layer,Service layer protocols",UGCS505,National,"National infrastructure, including transportation networks,energy grids, and healthcare systems, can benefit from loT architecture."
524,BSc (Computer Science),"Web services basics,The REST Architectural style,Developing Service-Oriented Applications with WCF",UGCS506,Global,"Web services are essential for global trade, providing a platform for secure and efficient communication between businesses, governments, and organizations across borders. Web services empower startups and innovation hubs to rapidly develop and deploy new applications and services. "
525,BSc (Computer Science),"Transformations,DirectX, Trigonometry,Unity Engine",UGCS507,Regional,"Game development studios and local game developers contribute to the local economy bycreating job opportunities, fostering entrepreneurship,and attracting investments in the 2aming industry."
526,BSc (Computer Science),"Practicals related to Artificial lntelligence,Linux Server Administration ,Software Testing and Quality Assurance",UGCSP501,National,"Practical skills in AI, Linux Server Administration, and QA create employment opportunities for local talent As businesses in the area adopt advanced technologies, skilled individuals in these domains contribute to local economic growth.Regions with a concentration of skilled professionals in Al, Linux, and QA become technology hubs, attracting investment and fostering innovation."
527,BSc (Computer Science),"Practicals related to Information and Network Security
,Architecting of IoT ,Web Services",UGCSP502,Global,"Web services practicals enable local businesses to establish and maintain a strong digital presence, facilitating online transactions and communication.Informationand network security are crucial for safeguarding regional critical infrastructure, including energy grids.Architecting loT solutions with adherence to global standards facilitates interoperabilityand collaboration on a global scale."
528,"BSc (Computer
Science1","implementation of filed
oroiect",UGCSP503,Regional,implementation of filed project
529,BSc (Computer Science),Practicals related to Game Programming,UGCSP504,Local,"Game development contributes to the local entertainment industry, providing engaging content that can be enjoyed by the local community. Sharing technological advancements globally can contribute to the broader tech ecosystem."
530,BSc (Computer Science),"Wireless Transmission,Telecommu nication, Satellite and Broadcast Systems: GSM",UGCS601,National,"Nationally, WSNs are  employed in healthcare for remote patient monitoring, asset tracking in hospitals, and the management of medical equipment WSNs contribute to global environmental monitoring by collecting data on climate change, pollution levels, and biodiversity."
531,BSc (Computer Science),"Types of clouds,Taxonomy of Virtualization Techniques.
Virtualization and Cloud
Computing",UGCS602,Global,"Cloud computing supports global business operations by providing a scalable and accessible platform for international trade, collaboration, and data sharing."
532,BSc (Computer Science),"Computer Forensics
,Network Forensic,Browser Forensics,lntroduction to Legal aspects of Digital
Forensics",UGCS603,National,Cyber forensics is relevant to global efforts in combating transnational cybercrime. International collaboration ort digital investigations and sharing best practices contributes to a more secure global digital landscape.
533,BSc (Computer Science),"Link Analysis and Specialized Search,Web Search Engine",UGCS604,Local,"Local government offices and community organizations can use information retrieval systems to provide citizens with easy access to relevant local services, announcements, and
resources."
534,BSc (Computer Science),"Image Transforms,Colour
Image processing ,Image Segmentation:",UGCS605,Regional,"DIP supports  regional development in agriculture by providing tools for crop monitoring, yield prediction, and disease detection."
535,BSc (Computer Science),Data Management.Data transformations:,UGCS606,Global,"Data science contributes to global health initiatives by analyzing data on disease prevalence, epidemiology, and healthcare outcomes. This supports collaborative efforts to
address global health challene:es."
536,BSc (Computer Science),"Types ofmalware,Types of attacks and their common prevention mechanisms,Additional Security Mechanisms",UGCS607,National,"Digitization of government services, ethical hacking helps secure sensitive information, ensuring the overall national security of a country."
537,BSc (Computer Science),"Practicals releated to Wireless Sensor Networks and Mobile Communication ,Cloud Computing
,Cyber Forensics",UGCSP601,Regional,"Wireless Sensor Networks (WSNs) can be deployed locally for environmental monitoring, providing data on air quality, water levels, and other parameters critical for local health  and safety."
538,BSc (Computer Science),"Practicals releated to Information Retrieval
,Digital Image Processing, Data Science",UGCSP602,Global,"Data Science skills are essential for analyzing and deriving insights from large-scale international datasets, fostering collaboration in scientific research."
539,BSc (Computer Science),Implementation of filed project,UGCSP603,National,"Data Science skills are essential for analyzing and deriving
insights from large-scale international datasets, fostering collaboration in scientific research."
540,BSc (Computer Science),Practical related to Ethical Hacking,UGCSP604,Local,"Ethical hacking helps secure local businesses from cyber threats, protecting sensitive data and ensuring the continuity
of operations."
541,"BCom
(Accounting and Finance)",Financial Accounting I,UGBAFCC101,National,Recording Transactions.
542,"BCom
(Accounting and Finance)",Cost Accounting,UGBAFCC102,National,Cost Classification.
543,"BCom
(Accounting and Finance)",Financial Management,UGBAFCC103,Local and National,Investment and Asset Management
544,"BCom
(Accounting and Finance)",Business Communication,UGBAFAECC104,Regional and National,Tone and Style.
545,"BCom
(Accounting and Finance)",Foundation Course,UGBAFAECC105,Regional and National,Introductory Knowledge.
546,"BCom
(Accounting and Finance)",Business Economics,UGBAFGEC106A,National,Demand and Supply Analysis.
547,"BCom
(Accounting and Finance)",Business Enviornment,UGBAFGEC106B,National and Global,Address challenges and leverage opportunities
548,"BCom
(Accounting and Finance)",FINANCIALACCOUNTING,UGBAFCC201,National,Financial Statements
549,"BCom (Accounting and
Finance)",Auditing,UGBAFCC202,Local and Regional,Risk Assessment:
550,"BCom
(Accounting and Finance)",INNOVATIVE FINANCIAL SERVICES,UGBAFCC203,National,"To evolve and expand, transforming the way individuals and businesses manage their finances"
551,"BCom
(Accounting and Finance)","Business Communication
-  II",UGBAFAECC204,Local,Dapt your tone and style to the context and audience
552,"BCom
(Accounting and Finance)",Foundation Course II,UGBAFAECC205,Local,Support for Diverse Learners
553,"BCom
(Accounting and Finance)",Business Law (BRF),UGBAFGEC206A,National,To operate legally and avoid legal disputes
554,"BCom
(Accounting and Finance)",Business Mathematics,UGBAFGEC206B,National,Interest and Loans:Percentage Calculations
555,BCom (Accounting and Finance),Financial Accounting (Special Accounting Areas) -  Ill,UGBAFCC301,National,Specialized areas of financial accounting
556,"BCom (Accounting and
Finance)",Cost Accounting (Methods of Costing) -  II,UGBAFCC302,,"tool for businesses to control costs, make pricing decisions, and  optimize operational efficiency."
557,BCom (Accounting and Finance),Direct Tax Paper- I,UGBAFCC303,National,"Taxation of income, profits, and gains"
558,"BCom (Accounting and
Finance)","Business Law (Business Regulatory Framework)
II",UGBAFCC304,Local and Regional,Regulatory framework that governs various aspects of business operations
559,"BCom
(Accounting and Finance)",Information Technology in Accountancy- I,UGBAFSEC305A,National,Integration of information technology and its applications in accounting and financial management
560,BCom (Accounting and Finance),Financial Market Operations,UGBAFSEC305B,National,"Efficient allocation of capital, risk management, and price discovery"
561,"BCom
(Accounting and Finance)",Business Economics -  II,UGBAFSEC306A,National,To solve practical business problems and make decisions in the corporate world
562,"BCom
(Accounting and Finance)","Business Planning &
Entrepreneurial Management",UGBAFSEC306B,National,"Encompass the processes and activities involved in conceiving, launching, and managing a business venture."
563,"BCom
(Accounting and Finance)","Financial
Accounting(Special Accounting Areas)    IV",UGBAFCC401,National,Comprehensive understanding of various accounting principles and practices
564,BCom (Accounting and Finance),Management Accounting (Introduction to Management Accounting),UGBAFCC402,National,"Organizations make informed internal decisions, plan for the future, and control their operations"
565,"BCom
(Accounting and Finance)",Direct Tax Paper- II,UGBAFCC403,National,Assist individuals and businesses with tax compliance and planning
566,BCom (Accounting and Finance),Business Law (Company Law)-lll,UGBAFCC404,Local and Regional,understanding of the legal aspects of corporate governance and business operations.
567,"BCom
(Accounting and Finance)",Information Technology in Accountancy - II,UGBAFSEC405A,Regional and National,Delever deeper into the intersection of technology and accounting
568,"BCom
(Accounting and Finance)",Management Skills,UGBAFSEC405B,Local and Regional,"to lead, supervise, and effectively oversee people and resources"
569,BCom (Accounting and Finance),Research Methodology in Accounting and Finance,UGBAFGEC406A,Local and Regional,"investigating financial transactions, corporate practices, economic trends, and the impact of financial decisions"
570,"BCom
(Accounting and Finance)",Wealth Management,UGBAFGEC4068,Regional and National,To achieve their financial goals and long-term prosperity.
571,"BCom
(Accounting and Finance)",Cost Accounting - III,UGBAFCC501,National,"Analysis, allocation, and management of costs within an organization"
572,"BCom
(Accounting and Finance)",Financial Management-II,UGBAFCC502,National,The efficient management of financial resources
573,"BCom
(Accounting and Finance)",Taxation -  III (Indirect Taxes- I),UGBAFCC503,Local and Regional,Navigate the complex and evolving landscape of tax regulations and compliance.
574,"BCom (Accounting and
Finance)",Research Methodology in Accounting and Finance,UGBAF504.,Regional,"Streamline operations, improve decision-making, enhance efficiency"
575,"BCom
(Accounting and Finance)",Financial Accounting -  V,UGBAF505,National,Financial health of an organization
576,BCom (Accounting and Finance),Financial Accounting - VI,UGBAF506,Regional,skills necessary to handle intricate financial reporting scenarios in a professional setting
577,"BCom
(Accounting and Finance)",Cost Accounting -  IV,UGBAFCC601,Regional,Address complex cost management scenarios in various business environments
578,"BCom
(Accounting and Finance)",Financial Management - III,UGBAFCC602,Regional,advanced financial decisions in various business and financial environments
579,"BCom
(Accounting and Finance)",Taxation - Paper IV (Indirect Taxes -  II),UGBAFCC603,National,"Individuals pursuing a career in taxation, particularly with an interest in indirect taxes"
580,BCom (Accounting and Finance),Economics Paper-III (Indian Economy),UGBAF604,National,"Analyze economic issues, conduct research,"
581,"BCom
(Accounting and Finance)",Financial Accounting -  VII,UGBAF605,National,Advanced Case Studies in Financial Accounting
582,BCom (Banking and  Insurance),Environment & Management of Financial Services,UGBBI101,Regionl,Student will be able to gain knowledge about Banking and Financial Service Industry.
583,BCom (Banking and  Insurance),Principles of Management Financial Accounting-I,UGBBI102 ,Local ,"Employability, Entreprenuerial skills"
584,BCom (Banking and  Insurance),Business Communication-I,UGBBI103,National,Outline the process and methods of financial decision-making
585,BCom (Banking and  Insurance),Foundation Course-I,UGBBI104,Global,"Future entrepreneurs will be prepared to generate successful business communications, present business briefings, publish easily understood business documents, and assess the effect of the communications process on the business operation through the Business Communications course."
586,BCom (Banking and  Insurance),Business Economics-1,UGHBI105,National,Sensitizing students to social issues like inequity and raising awareness of them
587,BCom (Banking and  Insurance),Quantitative Methods-I,UGBBI106,Global,"Students will gain knowledge of people, organizations, markets, professions, and governments. Understanding them enables pupils to react more effectively to arising dangers or opportunities in a constantly changing world."
588,BCom (Banking and  Insurance),Principles & Practices of Banking,UGBBI107 ,National ,Sids students with research paper preparation
589,BCom (Banking and  Insurance),Principles & Practices of Insurance,UGBBI201,National,Helps in self-employmentopportunities
590,BCom (Banking and  Insurance),Organisational Behaviour ,UGBBI202,Global,"Students will benefit from having subject-specific knowledge while collaborating effectively with managers, peers, and subordinates."
591,BCom (Banking and  Insurance),Financial Accounting-II,UGBBI203,National,Outline the process and methods of financial decision-making
592,BCom (Banking and Insurance),Business Communication-II,UGBBI204,Global,"Future entrepreneurs will be prepared to generate successful business communications, present business briefings, publish easily understood business documents, and assess the effect of the communications process on the business operation through the Business Communications course."
593,"BCom (Banking
and  Insurance)",Foundation Course-II,UGBBl205,Local,"Environmental consciousness, Human Rights"
594,"BCom (Banking
and Insurance)",Business Law,UGBBI206,National,"Apply fundamental legal understanding to business
transactions."
595,"BCom (Banking
and Insurance)",Quantitative Methods-II,UGBBl207,Regionl,Aids students with research paper preparation
596,"BCom (Banking
and Insurance)",Financial Management-I,UGBBI301,Global,"Grasp of various financial concepts and practices results in
strengthen career prospects"
597,BCom (Banking and Insurance),Management Accounting,UGBBl302,Global,"Entrepreneurship, Financial analysis"
598,BCom (Banking and Insurance),"Financial Market (Equity,
Debt, Forex, and Derivatives)",UGBBl303,National,"Understand and critically participate in the profits and risks
that investors encounter, as well as solutions for controlling these rewards and risks."
599,"BCom (Banking
and Insurance)",Direct Taxation,UGBBl304,Local,Employability and entrepreneurship
600,BCom (Banking and Insurance),Information Technology in Banking & Insurance-I,UGBBl305,National,"Practical Knowledge, IT literate"
601,BCom (Banking and Insurance),Business Economics-II,UGBBI306,Global,"Students will gain knowledge of people, organizations, markets, professions, and governments. Understanding them enables pupils to react more effectively to arising dangers or opportunities in a constantly changing world."
602,BCom (Banking  and Insurance),Fundamentals of Banking ,UGBBl307,"Local
-",Employability and entrepreneurship i
603,"BCom (Banking
and Insurance)",Financial Management-II,UGBBI401,Local,Entrepreneurship (Business Strategies)
604,"BCom (Banking
and Insurance)",Cost Accounting of Banking & Insurance,UGBBI402,Local,Cost classification and analysis
605,BCom (Banking and Insurance),Corporate and Securities Law,UGBBI403,National,Entrepreneurship
606,"BCom (Banking
and Insurance)",Entrepreneurship Development,UGBBI404,Region!,Entrepreneurship
607,BCom (Banking and Insurance),Information Technology in Banking & Insurance-II,UGBBI405,Local,"Practical Knowledge, IT literate"
608,BCom (Banking and Insurance),Risk Management,UGBB1406,National,"By examining situations, creating. and choosing workable solutions to challenges, student will show that they have the ability to engage in critical thought The ability to collaborate well with others will be shown by student"
609,"BCom (Banking
and  Insurance)","Fundamentals of
Insurance",UGBBI407,Global,"Understand the present and future problems in the financial
and insurance world"
610,BCom (Banking and  Insurance),Financial Reporting & Analysis (Corporate Banking & Insurance),UGBBI501,National,Students will comprehend both Indian and international financial reporting requirements.
611,"BCom (Banking
and Insurance)",Auditing-I,UGBBIS02,Local,Clear understanding of basic audit principles
